result,評価項目,評価表現,評判情報
"",画質,は悪くない,画質は悪くない方だと思いますが、機能面としてやはり絞り/SS(シャッタースピード)優先モードは搭載して欲しかったです。
"",画質,はあります,画質は、さすがのHDVで、以前使用していたDVカメラ(現在はサブ機)IXYDVS1と比べると、圧倒的にHC1の方が精細感があります。
"",画質,は良いのですが,画質は良いのですが機能性でフェーダー操作でオーバーラップが付いていないとアフレコ機能が付いていないのが残念です後レンズフードのデザインをを考えて見ては如何でしょうか。
"",画質,は素晴らしい,しかも画質は文句なしに素晴らしい。
"",画質,はいいです,レンズも優秀、APS-Cサイズ1030万画素のCMOSも優秀で画質は非常にいいです。
"",画質,はあります,特に風景撮影における画質はすばらしいものがあります。
"",画質,が良いと,デジタル一眼は画質が良いと言われますが、高価なレンズを使えば・・・という条件付きです。
"",画質,もよく,画質もよく、なによりタッチパネル操作が魅力的です。
"",画質,もよく,手に入れた良品は画質もよく、とても2万円のデジカメとは思えないくらいです。
"",画質,はあり,画質は液晶の画素数が少ないこともあり、パソコンで見てみましたがまずまずで、現在使っているIXY900ISとも遜色ないレベル。
"",画質,は思います,画質は、まあ満足のいくレベルだと思います
"",画質,はいいです,カメラ機能ですが、画質はいいです。
"",画質,も良く,画質も良く、特に暗いところ、室内でも明るい!
"",画質,はなりません,液晶が大きく老人でも見やすいし、画質は他の機種とは比べ物になりません。
"",画質,はいいと,画質は1/1.7型のCCDとバリオ・テッサーレンズのおかげか、かなりいいと思います。
"",画質,も良好です,室内で、オートで撮影する時もISOは160前後のため画質も良好です。
"",画質,はなります,画質は、やや彩度が高く、緑などはちょっと浮いた感じの発色になります。
"",画質,が良いと,静止画も、PCでみてると葉書サイズなら気にならないくらい、画質が良いと思います。
"",画質,は思います,画質は語るべきカメラじゃないと思います。
"",画質,も良く,画質も良く、価格が手ごろ。
"",画質,が良いと,まず、ハイビジョンだから無条件に画質が良いと感じるのはメーカーの策略に陥っている証拠です。
"",画質,は満足です,小さいし、42のプラズマで見ても画質は満足です。
"",画質,も良いです,前に使っていたのは古かったせいもあるかもしれませんが、かなり使いやすくて画質も良いです。
"",画質,は最高です,年末にこの液晶テレビの購入もするので、今は綺麗かどうかの判断は出来ないのですが、価格も84500円のポイント15繻ォ付きだったので、アクセサリー関係も全て込みで、116000円で買いました、安かったのもとても魅力でした、画質は最高です。
"",画質,は最高です,それにしても、画質は最高です。
"",画質,が良いです,一般カメラと比べると画質が全然良いです。
"",画質,もよく,高コントラストで非常に画質もよく、エンジン「ビオンズ」が非常に良く効いている。
"",画質,はいいです,画質は絵づくりも含めてとてもバランスがいいです。
"",画質,は良いです,画質は、確かに四隅の解像度は良いとはいえませんが、IXY900ISの四隅流れよりは、全然良いです。
"",画質,は文句なし,画質は順光なら文句なし。
"",画質,はいい,やはり画質はいい。
"",画質,も満足しています,タッチパネルも使い勝手がよく、DVDへのダイレクト書き込みや、PCへの取り込みも予想以上に早く、画質も予想以上でかなり満足しています。
"",画質,が悪い,・思っていたより画質が悪い。
"",画質,は良いと,画質はとても良いと思います。
"",画質,は問題なし,画質は全く問題なし。
"",画質,は良いのですが,留-7Dは画質は良いのですが、レスポンスは良くありませんでした。
"",画質,もありません,画質も申し分ありません。
"",画質,は良く,画質は非常に良く、満足しています。
"",画質,も悪くなく,画質も悪くなく、ノイズもフジフィルム商品を除けば出ない部類に入ります。
"",画質,が悪い,プリントしたときの画質が悪い。
"",画質,がなり,フィルムカメラと比較して、素人ながらどーしても画質が気になり5年くらいずーと悩んでいましたが、友人等のデジカメ写真を見てそろそろいいかなと思いまして・・・
"",画質,は良い,画質はそれほど良い。
"",画質,は良いと,ISOに関していえば、高感度域での画質はファインピクスが良いと思います。
"",画質,もなく,画質も高感度で今のところ室内でも問題なく使用できました。
"",画質,は思います,音質にこだわる、画質は必要充分でOK、使い勝手を重視、なら、とてもよい商品だと思います。
"",画質,は良いと,画質は、わたしはとても良いと思いました。
"",画質,が良いので,HD1AはHDサイズで撮影し42インチのプラズマTVで見ていますが最初に見た時は画質が良いのでちょとビックリしました、このサイズのMPEGムービーでここまで撮れちゃうなんて感動ものです。
"",画質,を求める,所有ステイタスを望んでいる方、画質を求める方、情報の受信者で情報をこねくりまわしているだけの評論家の方は、他メーカーも含めて他の選択肢がいいでしょう。
"",画質,を求める,▽画質についてこのクラスのカメラにハイビジョンカメラとしての画質を求めることは酷なのかもしれませんが、SONYの家庭用のHDVやAVCHD機と比較しても画質に劣るように思います。
"",画質,はないですが,夜の静止画がノイジーでかなり画質に不満(すべてオートでの状態)フラッシュの届く範囲が非常に短い--静止画に関して日中の明るい時の画質は申し分ないですが、夜は全くダメです。
"",画質,はあるので,画質は、CANONが定評があるので、今は、CANON版ハイビジョンZactiの登場に期待しています。
"",画質,が欲しい,コンパクトでハイビジョンのような高画質はいらないけどそこそこの画質が欲しい人向けのカメラです。
"",画質,で満足しています,日中・外出先で撮影した映像はどれも「HD」の肩書き通り木目細かい画質で満足しています。
"",画質,にある,画質に不満のある人は32インチ液晶以上で見ているのでしょう。
"",画質,はあります,静止画の画質は少し暗い印象があります。
"",画質,が悪いと,静止画のテレ端は画質が悪いと覚悟すべきです(動画では問題ありませんが)。
"",画質,はします,液晶は大きくて見やすいですが、画質はあまりよくない気がします。
"",画質,は良く,画質は良く、後で見た最に撮って良かったと思いました。
"",画質,が良いと,購入時の対抗馬として、好きなブランドであるpanaとも比較しましたが、私的にHD1000をチョイスして良かったなと思っていますそして圧倒的に画質が良いと思いました。
"",画質,があり,この機種に何を求めるかによって評価は別れると思うのですが、手軽に動画も静止画も撮影できてそこそこの画質があり、現時点で扱いに苦慮するfullHDデータはXactiライブラリが魅力的です。
"",画質,は使っています,ザクティーを買ってから半年が経ちました動画の画質は文句なしですただ最高画質で撮ると容量が大きくなり容量をたくさん消費するので画質は2番目にして使っています
"",画質,は使っています,ザクティーを買ってから半年が経ちました動画の画質は文句なしですただ最高画質で撮ると容量が大きくなり容量をたくさん消費するので画質は2番目にして使っています
"",画質,があるので,光量によって画質がかなり差があるので、快晴の中で撮影したいが、この液晶だけは評価できない。
"",画質,もいい,値段が値段だけに期待してませんでしが、見た目も画質もいい感じでした。
"",画質,もありません,まずボディの大きさ相応に液晶画面が大きく、画質も申し分ありません。
"",画質,が良い,画質がとても良い。
"",画質,も良いです,画質も、FZ7と違って発色も良く解像感も良いです。
"",画質,はよく,画質は予想以上によく、発色も自分好み。
"",画質,が良く,キャノンGシリーズより750Zの方が画質が良く、今も手放せません。
"",画質,は思います,画質は、趣味や記録で使うなら充分だと思います。
"",画質,はいい,画素が限定されるがデジタルズームよりは画質はいい。
"",画質,は良いです,まだ使いこなせて無い感はありますが、画質はかなり良いです。
"",画質,をして,そういう時には画質をヴィヴィットにして調整しています。
"",画質,に感じる,カタログのスペックだけを見ると、いい機種なんです28mmですし、いろいろ便利そうな機能入ってますしただ、ちょっとした使い勝手や画質にどうも不満を感じることがあります
"",画質,はなります,画質は我が家の環境でだけなのかややアンダーになります
"",画質,は思います,画質はライカレンズということに多くを期待しなければ不満を覚えることは少ないと思います。
"",画質,が悪い,撮影した写真をPC画面で見るとIXY300万画素よりも明らかに画質が悪い。
"",画質,になる,デジタル補正がされたような妙に鮮やかな画質になるデジカメもどうかと思いますし、むしろこちらの方が自然で、必要であれば勉強して各種設定を極めるなり、画像ソフトで補正するなりすべきなのでしょうね。
"",画質,は良く,それよりも、屋外の明るい場所での画質はとても良く、得意分野を生かす使い方が良いと思います。
"",画質,は感じですが,動画の画質はあまり代わり映えしないような感じですが、小さくなって携帯性がかなり向上しております。
"",画質,がいいので,・使いづらい部分もいくつかありますが、画質がいいのでとても気に入っています。
"",画質,はいいです,でも3CCDの恩恵なのか、屋外での画質はとてもいいです。
"",画質,はありません,画質は申し分ありません。
"",画質,はしました,画質は若干ノイズが目立つ感じがしました。
"",画質,が悪いと,DVD映画を観て画質が悪いと感じる方以外は、十分に満足できるものだと思います。
"",画質,も良いです,画質も、思っていたよりずっと良いです。
"",画質,が良い,・操作性が俊敏・明るいところでの画質が良い。
"",画質,も満足しています,連写では子供のドリブルシーンから相手を抜きシュートにいたるまで、4コマ漫画のように撮ることが出来、非常に面白いし、画質も大変満足しています。
"",画質,はありませんが,明るい所での画質は問題ありませんが暗いシーンでのノイズの多さ、出方が気になります。
"",画質,はありますが,画質はパナらしいノイジーな部分もありますが、所有した歴代FZの中では低感度高感度共に一番良いです。
"",画質,は感じですが,画質はノイズ処理がかなりされている様で少し平板な感じですが、パット見キレイには見えますがそこは好みの問題かなと思います。
"",画質,は良いです,デザインが綺麗だし、画質は良いです。
"",画質,は素晴らしい,・画質:ISO50〜100での画質は素晴らしい。
"",画質,が悪い,ただ、写真撮影では色が全体的に白すぎるような感じと画質が悪い。
"",画質,は思います,素人目での判断になりますが、操作性や画質はほとんど問題なく、商品の特徴である、コンパクトさや軽量さはほかのメーカーに比べて満足できると思います。
"",画質,には満足しています,しかし、画質に拘ると言っても業務用の型担ぎのHDカムではないので、この価格でこの画質には満足しています。
"",画質,も良いし,動画はおまけ程度に考えていましたが、意外に画質も良いし、マイクもかなり音拾ってくれてますので重宝しています。
"",画質,もよく,画質もよく、A3プリントにも十分に対応します。
"",画質,もありません,もちろん画質も問題ありません。
"",画質,になりました,キャノンからの買い替えですが、一眼レフに迫る画質になりました。
"",画質,が悪い,液晶:大きさはいいけど、画質が悪い。
"",画質,はものです,サイズ的には、手のひらにスッポリ収まり、価格的にも4万円台であること、画質は3CCD搭載の3メガタイプで、動画も静止画も満足のいくものです。
"",画質,の良い,とにかく携帯性の良いカメラでなおかつ画質の良い安いカメラを…と思って購入したわけですが、GS300はまさに望み通りでした。
"",画質,もあり,画質も3CCDということもあり、この価格帯ではかなり良い方だと思います。
"",画質,は思います,しかし、散々指摘されているように、高感度での画質はもうひとつと思います。
"",画質,はものです,確かに室内等の暗い場面では、書込みの通りノイズも目立つし、ベッタリとした感じが否めませんが、室外やフラッシュ発光での画質は充分満足のいくものです。
"",画質,もよく,画質もよく、バッテリーの持ちがいいので携帯してますよ
"",画質,はします,「画質」___望遠側の画質は惚れ惚れします。
"",画質,も満足です,画質も満足です。
"",画質,というか,画質というか、発色に特徴があります。
"",画質,が良い,◎新開発のLiveMOSセンサーの画質がなかなか良い。
"",画質,は思います,画質は、素晴らしいと思います。
"",画質,で満足しています,予想以上の性能を操作性と画質で満足しています。
"",画質,は満足です,画質は、オリンパス特有のこってり感があって、満足です。
"",画質,は文句なし,画質は文句なし。
"",画質,も良いと,それに画質も自分は良いと思っています。
"",画質,がないと,何台もカメラを所有しているが、このカメラほど画質が素晴らしいカメラはないと思う。
"",画質,もよく,作りがしっかりしていて、色合いも、画質もよく、使えば使うほど愛着が湧いてくる、とっても魅力的なカメラだと思います。
"",画質,が良く,コストパフォーマンスを追求した機種でありながら、画質が良く、操作性も評価できる。
"",画質,が悪いと,前のデジカメ(X−200)と比較すると画素数は倍以上あるににも関わらず画質が見た目に悪いと思いました。
"",画質,も思います,画質も、見たままの自然な色合いで細部までくっきりした画が好みの方には、低感度・高感度ともに最良の部類に入るのではないかと思います。
"",画質,はないです,画質は文句ないです。
"",画質,はありません,画質は月刊誌に書かれているほど悪い印象はありません。
"",画質,には満足しています,他機種との画質の比較をしたわけではないのですが、画質には満足しています。
"",画質,がいいです,またオリンパスはかなり前からですがJPEGの圧縮率が低く、JPEG保存時の画質がかなりいいです。
"",画質,はいいと,画質はいいと思いますしオリンパスは好きなので、最終的には購入してよかったと思います。
"",画質,で満足しています,遅まきながら購入して撮ってみると、期待以上の画質で満足しています。
"",画質,を求める,このレンズよりさらに良い画質を求める時には、このレンズの最大の長所である利便性を犠牲にしなければならないわけです。
"",画質,になります,さすがに絞り開放だとパープルフリンジが出る事がありますが、F2くらいから素人目には十分な画質になります。
"",画質,が違う,やっぱり単焦点いいねD40と組み合わせで使ってるけど画質がキットレンズと次元が違う。
"",画質,も良く,画質もとても良く、5年前から使っているサイバーショットがあり、当時は満足していましたが、P5100と比べると眠いような(良くいうとマイルドな)印象を受けます。
"",画質,も満足です,画質も満足です。
"",画質,もいいと,画質もいいと思います。
"",画質,はなりません,画質は、申し分無いです高感度での撮影でもISO800までなら、僕の目ではノイズは気になりません。
"",画質,は満足しています,発色も自分好みで画質は良く満足しています。
"",画質,は満足しています,画質は夜景以外は満足しています。
"",画質,には満足しています,お店でプリントすると、PCで見るよりかなり綺麗に撮れていますので、画質には満足しています。
"",画質,になります,画質がD40の方が良いのではと思いましたが、カスタムでいろいろ変えてみると、結構満足な画質になります。
"",画質,は素晴らしいです,画質は最高です(特にマクロにしたら極め細かい所まで撮れます)風景や人物を撮るのに本当に素晴らしいです。
"",画質,はなりません,画質は、上位機種に多少劣るも全く気になりません。
"",画質,は問題なし,画質は問題なし、画素数も610万画素ということで、1Gのカードで十分。
"",画質,は十分です,画質は必要十分です。
"",画質,も満足しています,特に写真マニアではないので画質も十分満足しています。
"",画質,が悪い,画質が大変悪い。
"",画質,はあります,とのことで、画質は3点としてあります。
"",画質,が良いと,ノイズ除去「する」と「しない」とで比較してみましたが、ISO800以上はノイズ除去したほうが断然画質が良いと感じました。
"",画質,はありません,D300のデザインはカメラとしてもmonoとしても近年最高の作品だと思います画質は申し分ありません。
"",画質,もいいです,総合的に表面加工も質が良く、画質もいいです、解像度不満なし、12-24mmほしいが、純正の値段お考えるという場はい、コストパフォーマンス高いです。
"",画質,は感じます,明るい場所での画質は十分ですが、他の方も仰る通り、ISO高感度の場合の画質はあまり良くないように感じます。
"",画質,もいいです,手振れも全く気になりませんし、画質もいいです。
"",画質,がいい,画質がいい。
"",画質,で満足しています,ウワサ通りの画質で満足しています。
"",画質,はありません,画質は文句ありません。
"",画質,はなりません,画質は画素数が高いせいか、高感度ノイズが自然な感じで乗り、プリント時にも気になりません。
"",画質,はしました,画質は、これもまた好みの問題があるものの、Canonと比べて高感度でのノイズ処理がまだ若干負けていることや、白トビがやや唐突に現れる傾向を感じているため、「4」にしました。
"",画質,をしましたが,評価項目の画質を4としましたが、ホワイトバランスを面倒がらずにそのつど測ってやれば、驚くほど現物に忠実な色を出してくれるカメラです。
"",画質,は良いです,画質はとても良いです。
"",画質,は満足です,画質は、スナップ、記録としては、とても満足です。
"",画質,は良いのですが,画質は3年前に購入したPanasonicのLC70に比べ、ISO800が使用出来るので比較的良いのですが、ISO1600やISO2000は、ノイズがひどく、使う気になりません操作性は、メニューの呼び出しは、取扱説明書を読まなくても扱え、OKボタンでの決定は押し間違いを防ぎ良いです。
"",画質,は思います,好みもありましょうが、実売で3倍の価格の17-35mmより画質はよいように思います。
"",画質,は良いです,はじめてのデジタル一眼レフなので細かいことは言えませんが、画質はとても良いです。
"",画質,が良い,マクロズームができること、画質が良いことなどをここで拝見して、試しにサンプル撮影に持っていったら…めちゃくちゃキレイでした!!
"",画質,は良く,画質は大変良く、ボケ味を抜きにすれば素人の私には一眼レフとの区別がつかないほどです。
"",画質,は最高です,画質は、シャープでクリアであり、ボケ具合も最高です。
"",画質,があれば,最初は、「入門機として買うんだから、最低限の機能や画質があればいいや。」という気持ちで検討を始め、ニコンのD40を買おうと思いました。
"",画質,は良いですね,画質は良いですね。
"",画質,は最高,値段も手ごろで画質は最高。
"",画質,が良い,●期待以上に画質が良い。
"",画質,はありません,画質は申し分ありません。
"",画質,も良い,色味が自然で、画質も良い。
"",画質,はいいですね,画質ISO100での画質はいいですね。
"",画質,が悪い,私個人はカメラはあくまで写真を撮る道具なので画質が悪い点には納得行きません。
"",画質,も思います,画質も私的には非常にスバラシイと思います。
"",画質,は良いと,この価格帯のデジカメの画質は、どのメーカーの機種でも十分に良いと思います。
"",画質,になります,画質についてですが、デフォルト設定のままでは既知の通りコントラストが低くて眠い画質になります。
"",画質,もありますが,画質も、ちょっとノイズが乗り安い感はありますが、十分許容範囲内です。
"",画質,は思います,画質はキャノンはノッペリ感が強いように思います。
"",画質,はありません,画質は晴天屋外に関しては申し分ありません。
"",画質,も良い,カバーが付いているのは有難いし、画質も良い。
"",画質,もいいです,画質もとてもいいです。
"",画質,も気に入っています,画質もよく大変気に入っています。
"",画質,も良い,低価格と軽量ボディで携帯性しやすいのに、画質も良い。
"",画質,を考えると,価格、画質を考えるとG9やGRD竇。などコンデジ上位機種より、お買い得ですね。
"",画質,も良い,・風景も室内も細かく言わない限り画質も良い。
"",画質,が良い,・広角端の画質が非常に良い。
"",画質,にありません,ただ、600万画素ながら、結構色も良く出たり画質に不満はありません。
"",画質,があると,もし仮に(実際はそんなことはないのですが)撮れる画質がEOS40Dと同程度だとしても、「写真機」として比べれば価格差に見合う価値はあると思います。
"",画質,は感じます,画質は日中の画質は非常に良く感じます。
"",画質,は感じます,画質は日中の画質は非常に良く感じます。
"",画質,は最高です,画質は最高です。
"",画質,もなく,また画質も申し分なく写真に立体感があり、味のある写真撮影が可能かと思います。
"",画質,は良いと,画質は良いと思っています。
"",画質,は良いですね,こういう画質は、数年後に見た時もがっかりすることが少なくて、思い出を蘇らせるしっかりとした記録になるので良いですね。
"",画質,が良い,軽くコンパクトでしかも寄れて画質が良い標準レンズです。
"",画質,が良いので,ていうか本当はそれ以上に画質が良いので4.5点。
"",画質,に満足しています,まだ性能を活かしきれていないと思いますが、フォーカスの精度、逆光でのフレアの少なさ、開放での画質に大変満足しています。
"",画質,も満足しています,そもそもメカ部分を重視で購入しましたので・・・でも私的には画質も十分満足しています。
"",画質,は思います,好みもありましょうが、17-35mmf2.8ズームのワイド端より画質はよいように思います。
"",画質,にない,写真の仕事をしているのではないので、画質に不満はない。
"",画質,はなりません,それに、コンパクトデジタルに比較すると、画質は比べ物になりません。
"",画質,がいい,18mm〜55mmのズームレンズも、予想以上にシャープに描写し、画質がいい。
"",画質,が良い,但し子供の撮影にはもっとソフトな画質が良い。
"",画質,が良くて,画質が良くて、値段も安い!
"",画質,は良いと,画質は値段からするとかなり良いと思います
"",画質,はいいと,画質は、非常にいいと思います。
"",画質,もいいと,ニコンさんはキャノンさんより安いし、画質もいいと思います。
"",画質,はあり,デジタル一眼の画質は素材としての扱いやすさ重視ということで、地味な画質になっている機種もあり、一般ユーザーでは不満に思う人も多いようですが、本機はそうではありません。
"",画質,といい,値段の安さといい画質といい不満点はありませんねニコンは銀塩時代から一眼を使って居ます。
"",画質,が良く,2．高感度にしても画質が良く、いつも綺麗な写真が撮れる
"",画質,はいい,ピーキーな分割測光と派手目な味付けではあるが、かなり画質はいい。
"",画質,がいい,上位機種のキットレンズですが、D40ともバランスが良くなにより値段の割に画質がいい。
"",画質,は良いと,私は個人的に、画質はD40が一番良いと思います。
"",画質,は思います,コンデジ高級機と変わらない価格でこの画質は、抜群のコストパフォーマンスだと思います。
"",画質,は思います,画質は屋外での撮影であれば大変良いと思います。
"",画質,には満足しています,風景撮影が中心ですが、画質には大変満足しています。
"",画質,も良いです,見た目も高級感があり、画質も良いです。
"",画質,もいいです,画質もとてもいいです。
"",画質,が良い,一番価格が安かった機種が一番自分の求めていた機種であり画質が良い機種であったことに違和感を覚えつつ結果万々歳ということでNikonのこの後継機種に期待しつつも(でるかわかりませんが)この路線を維持、発展させてもらいたいです。
"",画質,がいい,コンパクトカメラで犬も杓子も画質がいい機種、銀塩一眼カメラで目が肥えた方でコンパクトデジタルカメラも1台という方にオススメできる機種です。
"",画質,はありません,画質は晴れた日は文句のつけようがありません。
"",画質,はありますが,画質は、ズームのばあいあまり気にしないこともありますが、遜色ありません。
"",画質,は良い,画質はA4位まではかなり良い。
"",画質,も良く,液晶のOFFが撮影モードで出来ないのは不便ですが、画質も良く、ホワイトバランスも良いし、コンパクトで良いカメラです。
"",画質,が良いです,細かいことは忘れましたが画質がとても良いです。
"",画質,は良いです,・思った以上に画質は良いです。
"",画質,も満足しています,画質も自然で満足しています。
"",画質,はありません,画質は悪くありません。
"",画質,をする,このサイズのCCDに価格帯のカメラに高感度撮影は画質を気にする方は求めてはいけません。
"",画質,はいいと,画質はいいと思います。
"",画質,は最高です,携帯性を重視して本機を購入しましたが、やはり画質は最高です。
"",画質,は素晴らしい,画質は素晴らしい
"",画質,は良いですね,画質は3年前のカメラと考えると結構良いですね。
"",画質,は良いと,画質は、太陽光の下ではこのサイズと価格を考えると、非常に良いと思います。
"",画質,は思います,画質はリコー感性を引き継いでいて、言うまでもないと思います。
"",画質,は良いです,画質は思った以上に良いです。
"",画質,は思います,画質は、CCDが小さい割りに良い写真が撮れると思います。
"",画質,はないです,良い点デザイン，画質は申し分ないです。
"",画質,はありません,(SDカードはクラス6のモノです)画質は素人目には問題ありません。
"",画質,は良いです,2．画質は良いです。
"",画質,は満足しています,35mm換算で24㎜ワイドズームしかもこのサイズで歪曲やノイズに螳檎挑を求めたり、一眼レフと比較すること自体がナンセンス、それにASA100以上で使用するカメラでないと思っていますので、このサイズでこの画質は満足しています。
"",画質,をする,画質を気にする人からすればそのコストパフォーマンスに沢山言いたいことがあるでしょう。
"",画質,は好みです,シャープかつナチュラルな発色の画質は好みです。
"",画質,も比べると,動画の画質もR3から比べると随分よくなりました。
"",画質,が悪い,残念なのは画質が悪いこと。
"",画質,にありますが,室内・人物撮りは画質に少々ツラいものがありますが、その点を補うものをたくさん持ったカメラです。
"",画質,は良い,手ぶれ防止、画質は良い。
"",画質,には満足しています,RAW撮影は1枚撮影するたびに保存に10秒強待たされますが、画質にはとても満足しています。
"",画質,はあり,もちろん画質は短焦点レンズの切れがあり、コンパクトデジカメとは思えないレベル。
"",画質,は思いますが,画質は賛否両論だと思いますが私はいいと思います。
"",画質,は思いますが,画質はきれいで繊細、マクロには不向きかなとも思いますが、風景描写は抜群です。
"",画質,というか,画質というかレンズ性能を言われますけど、あんまり深く考えないで、普通にコンデジという風に考えれば、かなりいいカメラだと思うんですけど(にしては高いってのは置いておいて、ですが)手ぶれ補正もズームもないっていう、今時ではないカメラですが、発売以来、人気のままっていうのも頷ける、好いカメラではないかと。
"",画質,がいい,画質が特にいい。
"",画質,を考えると,GX8のISO1600時の画質を考えるとGRならISO3200を加えてもいけそう。
"",画質,はものです,画質は、さすが1000万画素と思わせるものです。
"",画質,も良い,K10Dに使用してますが、カメラ側のプログラムをMTFモードにしていますから、画質も良いとこ撮りスタートです。
"",画質,はいいと,良い所は、使ってる皆さんのベタボメコメントにお任せしていいカメラながらも、もうちょっと見直して欲しい点低感度(ISO100)での画質は最高にいいとおもいますが高感度(ISO800〜)のノイズの多さは大変気になりました
"",画質,は良いですね,私は、これまでコンデジを二機種使用しておりましたがK10Dの画質は非常に良いですね。
"",画質,は良いと,他に一眼デジを持ってないので比べる物がありませんが、画質は1000万画素としてはかなり良いと思います。
"",画質,はできます,画質は、赤の飽和問題は大幅に解消し、注意すれば諧調性がすばらしい絵ができます。
"",画質,はよい,画質はよい。
"",画質,はありません,画質コンパクト機からの乗換えなので画質は比べようもありません。
"",画質,もいいです,手軽に取れるし、画質もいいです。
"",画質,が悪いと,購入して、早速撮影してみるといかにコンパクトの画質が悪いと揶揄されるかの理由、そしてなによりも、携帯性を高めた上であそこまでの画質を叩き出すコンパクトの素晴らしさを思い知りました。
"",画質,もなく,画質も申し分なく、操作性も良く、作りもカッチリしていて、さらにコストパフォーマンスも良く大満足してます。
"",画質,が良いです,でもこのレンズは開放からとても安定した写りをし、絞り込んでも他のレンズよりもはるかに画質が良いです。
"",画質,もいい,そのわりには画質もけっこういい感じ。
"",画質,の良い,Pentaxをお使いで、画質の良い標準ズームをお求めの方にはお薦めです。
"",画質,にありません,オールドレンズF70-210/4-5.6+F1.7xを多用していますが、画質に不満はありません。
"",画質,はします,画質は最近の700万画素クラス(キャノン等)と似ている気がします。
"",画質,は良好です,画質は皆様の評価通り、カチッと良好です。
"",画質,はあります,まず画質は、低感度から高感度まで評判のよいフジのコンパクト系ですら(あたりまえなのでしょうが)遠く及ばない高画質で、600万画素でも細部につぶれの無い、十分な密度感があります。
"",画質,は良いです,画質はコンデジに比べると格段に良いです。
"",画質,で満足しています,DA70は、FA77のとろとろボケな感じとは違うカリっとシャープな画質で、描写もしっかりしていて大変に満足しています。
"",画質,が悪い,5と小さいので画質が悪い。
"",画質,が良いです,画質が良いです。
"",画質,がいいです,画質がとてもいいです。
"",画質,も満足しています,明るく、コンパクトで画質も満足しています。
"",画質,は感じます,24-90mmよりも画質は上に感じます。
"",画質,は素晴らしい,*感度100の繊細な画質は素晴らしい
"",画質,はいいと,画質はかなりいいと思います。
"",画質,にありません,とはいえDL・K100Dまでは同じ600万画素ですので、絶対的な画質に差はありません。
"",画質,はあり,画質は各機種一長一短があり、各人の好みもありますから。。
"",画質,はいいです,画質はいいです。
"",画質,は思います,画質はいまのコンパクトの標準というところ、ISO400までな普通に使えると思います。
