"",4.15844240253773,H,が良い,が悪い,が良いです,は高いです,は最高です,も良い,が良く,は良いのですが,も良く,は感じます,も良いと,はよいです,もよく,は優秀です,もいいです,は良いです,はないです,の良い,は満足です,はしますが,はいい,も良好です,も思います,にありません,はいいです,は感じです,が気に入りました,といい,は素晴らしい,は印象です,はありません,は思いますが,は思います,もいい,は良いと,は感じですが,が良いと,は良い,がよいと,はない,もありますが,は満足しています,はありませんが,がいいです,がいいですね,をしましたが,は優れていると,も良いです,がいいので,もなく,はしました,はありますが,は劣りますが,はないので,は良く,は最高,は悪い,に満足しています,が良いので,にはあります,は使えます,はないと,は良いので,で思います,に感じます,がいい,にあり,も含めて,も悪くなく,も良いので,はあり,もありません,はあります,には満足しています,にある,があり,もいいと,は悪くない,はものだと,を求める,はします,は感じません,は文句なし,も十分,はないですが,が欲しい,も悪くないと,が良いとは,をして,もあり,になります,は優れています,はしましたが,があると,が良くて,も文句なし,に関しては思います,がいいと,となります,があります,はよいと,にあります,を考えると,がよい,も満足しています,はいいと,はいいですね,は良いですね,が高い,になる,はなります,はあるので,があるので,は素晴らしいです,も気に入っています,はある,もあります,もあって,がある,のある,はあると,が感じます
カメラ,○,5.31131664063053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,2,0,1,0,3,0,0,0,0,1,6,3,3,0,1,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,1,0,0,8,0,0,0,0,0,0,0,0,1,1,3,4,0,1,0,0,3,1,2,0,0,0,0,2,0,0,9,2,3,1,1,2,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,2,0,0,1,1,0,1,2,0,2,0,1,0
液晶,○,5.16981576209459,1,0,0,0,1,0,0,1,0,4,1,1,0,0,1,7,1,1,1,3,0,0,0,0,1,2,0,2,0,1,1,2,5,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,2,0,1,1,1,0,1,1,1,0,0,0,0,0,1
性能,○,5.12777837061146,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,0,1,0,2,1,0,1,1,4,0,3,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,5,2,2,0,0,0,0,0,0,3,1,1,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,2,0,0,12,4,0,3,0,0,2,0,0,0,1,2,0,1,0,0,1,0,1,1
画像,○,5.0867903752448,1,1,0,0,1,1,0,0,0,2,1,0,1,0,1,2,0,0,0,0,0,0,0,3,0,1,1,0,1,0,3,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1
使い勝手,○,5.01182059808154,17,7,0,0,2,1,10,0,4,0,1,0,4,0,1,10,0,12,1,0,0,1,1,1,3,0,0,0,0,0,4,0,1,1,5,0,6,1,1,0,1,1,0,12,4,0,0,1,1,1,0,0,0,0,1,1,1,1,3,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,1,1,0,4,6,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
AF,○,4.99165188649495,1,1,0,1,0,0,0,0,0,1,2,0,0,2,0,2,0,0,0,3,0,0,2,1,0,0,0,0,0,0,6,0,2,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,3,0,1,1,0,1,0,0,0,3,0,0,1,0,0,0,1,1,0,1,1,2,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
発色,○,4.91340074566138,0,2,0,0,2,0,3,0,3,1,0,0,6,0,1,2,0,1,0,0,0,0,0,0,1,1,1,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,1,0,1,1,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1
機種,○,4.90853506494146,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,1,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0,1,1,1,1,0,0
補正,○,4.81920658013603,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,0,1,1,1,0,0,4,0,0,9,0,0,0,0,1,0,3,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,0,0,1,3,0,0,0,0,1,5,7,1,0
機能性,○,4.78346518960165,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,1,1,3,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,2,0
ボケ,○,4.77192809488736,1,0,0,0,2,1,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,2,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,1
色合い,○,4.76485765974029,0,0,0,0,1,1,0,0,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0
重さ,○,4.75842172769969,3,0,0,0,0,3,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,4,0,0,0,0,1,4,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,3,0,0,0,1,1,3,1,0,0
大きさ,○,4.70043971814109,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,1,1,4,0,1,0,1,0,4,1,0,0
バランス,○,4.6987153155046,14,6,0,0,0,1,10,0,6,0,11,1,5,0,0,5,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,9,2,0,1,0,0,0,3,1,0,0,4,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,4,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,1,0,8,3,1,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
感じ,○,4.63560740789418,4,0,0,0,2,0,0,0,0,0,0,1,0,0,2,3,2,0,0,9,0,0,0,0,0,0,1,0,0,1,6,0,0,0,1,0,0,0,0,0,6,0,0,2,1,0,0,1,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,2,0,1,1,0,0,0,0,4,0,0,0,0,1,0,0,0,4,22,0,0,1,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,4,0,1,0,0,1,2,2,3,2,0,0,0
描写力,○,4.63523474348979,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,3,1,1,1,0,0,1,4,0,1
解像感,○,4.63222885426324,0,1,0,0,0,0,0,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,2,6,0,0
撮影,○,4.61485877103436,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0
色,○,4.60675572458568,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,2,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0
解像度,○,4.55675218432542,1,1,0,2,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,3,2,0,0
バッテリー,○,4.55424867067399,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,5,0,0,0,1,0,0,1,0,0,4,0,0,0,0,9,1,3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,2,0,1,0
コストパフォーマンス,○,4.49129925119718,5,0,0,4,9,0,1,0,1,0,2,0,1,0,0,4,0,5,1,0,0,0,0,0,1,0,0,1,1,0,0,0,2,1,8,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,3,0,1,3,1,14,0,0,0,0,3,0,0,0,0,0,0,1,0
精度,○,4.44040401772093,2,2,0,1,0,0,2,0,1,0,2,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
AF精度,○,4.41829583405449,0,2,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
ズーム,○,4.39274741044878,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0
グリップ,○,4.38936485863439,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,2,3,0,0
表現力,○,4.36970737673753,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0
相性,○,4.32781953111478,2,0,0,0,1,0,1,0,3,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
良さ,○,4.28452769641656,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
動画,○,4.22192809488736,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
見た目,○,4.18670434591002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
感触,○,4.17922929667217,2,0,0,0,0,2,1,0,0,0,1,0,1,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
持ち,×,4.15783799814198,22,30,0,0,1,0,0,1,0,0,0,2,0,0,0,5,0,0,0,1,1,0,0,0,1,2,0,0,0,0,7,1,0,0,6,0,2,3,0,1,0,0,1,1,0,0,0,0,6,0,0,1,0,0,2,1,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,6,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1
場合,×,4.13407824933161,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,2,0,1,0,2,0,0,0,0,1,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,25,0,0,0,0,0,1,0,0,0,0,5,1,1,0,0,0,10,0,10,0,2,0
ボケ味,×,4.1162996057017,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,3,0,3,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
ノイズ,×,4.10694913275815,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,3,1,0,1
評価,×,4.10538854220753,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,4,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,4,2,3,0,0,0,0,0,0,0,1,0,0,0
設定,×,4.08505510275648,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1
