"",4.09210737744911,H,が良い,が悪い,が良いです,は高いです,は最高です,も良い,もよく,は満足です,は良いと,は素晴らしいです,が良く,は良いのですが,も良く,は感じます,も良いと,はよいです,もいいです,は良いです,はないです,の良い,を考えると,を考えて,も良好です,がよい,も思います,にありません,はいいです,は感じです,といい,は素晴らしい,は印象です,はありません,は思いますが,は悪くないと,は思います,もいい,はいいと,が良いと,は良い,がよいと,はない,もありますが,は満足しています,もよいです,はありませんが,がいいです,がいいですね,も良いです,がいいので,は気に入っています,は良好です,もなく,はしました,はありますが,はいいですね,は良く,は最高,は悪い,に満足しています,が良いので,は良いですね,にはあります,が劣る,は良いので,が高い,はいいのですが,に感じます,がいい,も含めて,も悪くなく,はあり,が悪いです,を考えれば,もありません,はあります,には満足しています,にある,があり,もいいと,はものだと,を求める,はします,は文句なし,も十分,はないですが,が欲しい,が悪いと,をして,に感じる,になります,があると,が良くて,がいいと,があります,はよいと,がありません,が感じます,にあります,は感じました,も満足しています,は感じですが,はよく,はないので,があれば,になる,はなります,はあるので,もあり,も気に入っています,はある,もあります,もあって,がある
使い勝手,○,5.23235078208296,17,7,0,0,2,1,4,1,5,0,10,0,4,0,1,0,1,10,0,12,4,1,1,6,1,1,3,0,0,0,0,4,0,2,1,1,3,6,1,1,0,1,1,0,0,12,4,1,1,1,5,1,0,0,0,1,1,1,1,3,1,1,2,1,0,1,0,1,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
液晶,○,5.21144553480344,1,0,0,0,1,0,0,1,2,1,0,1,0,4,1,1,1,7,1,1,0,0,0,0,0,0,1,2,2,0,1,1,2,0,5,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,1,1,0,1,1,0,2,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0
性能,○,5.2054965435667,2,0,0,1,0,0,0,2,3,2,0,0,3,0,0,0,0,0,0,5,12,2,0,4,0,1,0,1,2,1,0,1,1,0,4,0,3,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,2,0,2,0,2,2,0,0,0,0,5,0,3,1,1,0,2,1,0,1,1,1,0,0,0,0,1,0,4,2,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
描写,○,5.19638203560519,0,0,0,1,1,1,0,1,0,0,1,0,6,0,0,0,1,5,0,2,1,0,1,0,1,0,0,0,0,2,0,4,0,0,5,1,0,4,1,0,0,0,2,0,0,1,0,3,1,0,0,1,0,1,0,3,1,0,0,2,0,2,2,0,0,0,1,1,2,0,4,0,0,0,5,3,5,0,2,0,0,1,2,0,1,0,0,0,1,7,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0
画像,○,5.12452345693471,1,1,0,0,1,1,1,0,0,0,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,3,0,1,0,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,0,2,0,2,0,1,0,1,0,1,5,0,0,0,1,1,1,1,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1
バランス,○,4.96497341816942,14,6,0,0,0,1,5,0,8,0,10,0,6,0,11,1,0,5,0,20,8,2,0,3,0,0,0,0,0,0,0,0,0,1,0,2,4,9,2,0,1,0,0,1,0,3,1,4,0,1,3,1,0,0,2,3,0,0,0,2,1,0,0,0,2,0,0,4,1,1,0,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,1,0,1,4,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
機種,○,4.94577248225106,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,2,1,0,0,1,1,1
発色,○,4.91340074566138,0,2,0,0,2,0,6,0,0,0,3,0,3,1,0,0,1,2,0,1,0,0,0,0,0,0,1,1,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,1,0,0,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,4,0,0,0,0,1,0,0,0,1,0,1,1,0
ボケ,○,4.77192809488736,1,0,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,2,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0
補正,○,4.72229743805268,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,3,0,0,1,0,0,4,0,0,0,9,0,0,1,0,0,0,3,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,5,0,0,1,4,0,0,0,1,5
重さ,○,4.71929452566698,3,0,0,0,0,3,0,0,0,0,0,0,2,2,0,0,2,2,0,0,1,0,0,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0,0,1,1,3
色合い,○,4.71231909118671,0,0,0,0,1,1,2,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,1
大きさ,○,4.65399673866571,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2,0,0,8,0,0,0,0,0,2,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,4
解像感,○,4.61842697763166,0,1,0,0,0,0,1,0,1,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,2,0,1,0,0,0,0,3,0,0,3,1,2
解像度,○,4.61194933408044,1,1,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,3
AF,○,4.58066464931982,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,6,0,0,2,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,1,0,0,1,0,0
機能性,○,4.57649212500518,0,0,0,0,1,0,0,1,3,1,1,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
色,○,4.55095260950462,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,2,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,3,0,1,0,0
コストパフォーマンス,○,4.55095213149284,5,0,0,4,9,0,1,1,8,3,1,0,1,0,2,0,0,4,0,5,10,1,0,3,0,0,1,0,1,1,0,0,0,0,2,1,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,14,0,0,1,2,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感じ,○,4.50629382875707,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0,6,0,0,0,2,1,1,0,0,0,0,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,1,0,0,0,4,0,0,0,1,0,0,0,22,1,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,1,4,1,2,2,3,2
撮影,○,4.50071158837354,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,1,0,1,1,0,1,0,0,0,1,0,0,2,0,1,2,0,0,0,0,0,1,0
描写力,○,4.45757515967848,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
相性,○,4.45482239994661,2,0,0,0,1,0,0,0,1,0,1,0,3,0,0,1,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
精度,○,4.375,2,2,0,1,0,0,0,0,2,0,2,0,1,0,2,0,1,1,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
バッテリー,○,4.34211397723245,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,1,5,0,0,0,0,0,0,1,0,0,4,0,0,0,9,1,0,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2
ズーム,○,4.2824842613426,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,1,1,0,0,0,0,1
持ち,○,4.27506125689965,22,30,0,0,1,0,0,0,6,0,0,1,0,0,0,2,0,5,0,0,0,0,0,6,0,0,1,2,0,0,0,7,1,1,0,0,0,2,3,0,1,0,0,0,1,1,0,0,6,0,0,0,0,1,2,2,1,0,0,2,2,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
グリップ,○,4.25162916738782,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2
動画,○,4.22192809488736,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
AF精度,○,4.20184123230257,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
感触,○,4.10694913275815,2,0,0,0,0,2,1,0,1,0,1,0,0,0,1,0,3,6,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
表現力,×,4.0784185204416,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
もち,×,4.05184111379508,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
見た目,×,4.02192809488736,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
場合,×,4.01421020978955,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,1,0,1,0,1,8,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,25,0,0,0,0,1,0,0,0,1,0,0,5,1,2,0,0,10,0,10
良さ,×,4.00392803184602,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
設定,×,4.00385618977472,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
評価,×,4.00043230253562,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,3,0,1,0,0,0,0,1
操作感,×,3.92192809488736,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
サイズ,×,3.91612694658828,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
操作,×,3.89240711859288,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機動性,×,3.85216872360328,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
音,×,3.82687488186464,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
