"",0.775488750216347,H,が良い,が悪い,が良いです,は高いです,は最高です,も良い
3)コストパフォーマンス,×,-0.0,1,0,0,0,0,0
売れ行き,×,-0.0,0,1,0,0,0,0
掛かり,×,-0.0,0,1,0,0,0,0
反応,×,-0.0,0,2,0,0,0,0
付属ソフト,×,-0.0,0,1,0,0,0,0
記述,×,-0.0,0,1,0,0,0,0
ボタン位置,×,-0.0,0,1,0,0,0,0
解像感,×,-0.0,0,1,0,0,0,0
感度,×,-0.0,0,2,0,0,0,0
位置,×,-0.0,0,5,0,0,0,0
音,×,-0.0,0,1,0,0,0,0
半押し,×,-0.0,0,1,0,0,0,0
背面液晶,×,-0.0,0,1,0,0,0,0
取り付け位置,×,-0.0,0,1,0,0,0,0
構造,×,-0.0,0,1,0,0,0,0
応答性,×,-0.0,0,1,0,0,0,0
よい,×,-0.0,0,1,0,0,0,0
映り,×,-0.0,0,1,0,0,0,0
電力事情,×,-0.0,0,1,0,0,0,0
全長,×,-0.0,0,1,0,0,0,0
(?),×,-0.0,0,1,0,0,0,0
モチ,×,-0.0,0,1,0,0,0,0
収納性,×,-0.0,0,1,0,0,0,0
ライン,×,-0.0,0,1,0,0,0,0
都合,×,-0.0,0,1,0,0,0,0
(視力,×,-0.0,0,1,0,0,0,0
始末,×,-0.0,0,1,0,0,0,0
(9)携帯性,×,-0.0,0,1,0,0,0,0
工作精度,×,-0.0,0,1,0,0,0,0
製造品質,×,-0.0,0,1,0,0,0,0
重量バランス,×,-0.0,0,1,0,0,0,0
品質,×,-0.0,0,1,0,0,0,0
少し分,×,-0.0,0,1,0,0,0,0
合わせ,×,-0.0,0,1,0,0,0,0
立て付け,×,-0.0,0,1,0,0,0,0
気分,×,-0.0,0,1,0,0,0,0
態度,×,-0.0,0,1,0,0,0,0
①操作性,×,-0.0,0,1,0,0,0,0
完成度,×,-0.0,0,0,0,3,0,0
個人的満足度,×,-0.0,0,0,0,1,0,0
お買い得感,×,-0.0,0,0,0,2,0,0
亮780,×,-0.0,0,0,0,1,0,0
平均点,×,-0.0,0,0,0,1,0,0
(本質),×,-0.0,0,0,0,1,0,0
頻度,×,-0.0,0,0,0,1,0,0
200円,×,-0.0,0,0,0,1,0,0
クオリティ,×,-0.0,0,0,0,2,0,0
検出能力,×,-0.0,0,0,0,1,0,0
所有満足度,×,-0.0,0,0,0,1,0,0
満足ど,×,-0.0,0,0,0,1,0,0
SB‐800,×,-0.0,0,0,0,1,0,0
・満足度,×,-0.0,0,0,0,1,0,0
第一印象,×,-0.0,0,0,0,1,0,0
使用頻度,×,-0.0,0,0,0,2,0,0
補正,×,-0.0,0,0,0,1,0,0
防止,×,-0.0,0,0,0,1,0,0
逆光性能,×,-0.0,0,0,0,1,0,0
リスク,×,-0.0,0,0,0,1,0,0
Lレンズ,×,-0.0,0,0,0,1,0,0
歩留まり,×,-0.0,0,0,0,1,0,0
比率,×,-0.0,0,0,0,1,0,0
信頼感,×,-0.0,0,0,0,1,0,0
楽しさ,×,-0.0,0,0,0,1,0,0
信頼性,×,-0.0,0,0,0,1,0,0
採点,×,-0.0,0,0,0,1,0,0
値段,×,-0.0,0,0,0,1,0,0
現在,×,-0.0,0,0,0,1,0,0
利用頻度,×,-0.0,0,0,0,1,0,0
シグマ,×,-0.0,0,0,0,1,0,0
信頼度,×,-0.0,0,0,0,1,0,0
ハイビジョン画像,×,-0.0,0,0,0,0,1,0
魅力,×,-0.0,0,0,0,0,1,0
こいつ,×,-0.0,0,0,0,0,1,0
10倍ズ−ム,×,-0.0,0,0,0,0,1,0
松下ライカレンズ,×,-0.0,0,0,0,0,1,0
5倍ズーム,×,-0.0,0,0,0,0,1,0
設計,×,-0.0,0,0,0,0,1,0
冬,×,-0.0,0,0,0,0,1,0
糸巻き収差,×,-0.0,0,0,0,0,1,0
VR機能,×,-0.0,0,0,0,0,1,0
あと,×,-0.0,0,0,0,0,1,0
表現,×,-0.0,0,0,0,0,1,0
液晶画面,×,-0.0,0,0,0,0,1,0
70−300,×,-0.0,0,0,0,0,1,0
写真,×,-0.0,0,0,0,0,1,0
ホールド感・ファインダー・シャッター音,×,-0.0,0,0,0,0,1,0
D3,×,-0.0,0,0,0,0,2,0
間,×,-0.0,0,0,0,0,1,0
良さ,×,-0.0,0,0,0,0,1,0
減点,×,-0.0,0,0,0,0,1,0
(Anti-Shake)機能,×,-0.0,0,0,0,0,1,0
機能性,×,-0.0,0,0,0,0,1,0
28mm,×,-0.0,0,0,0,0,1,0
ズームレンズ,×,-0.0,0,0,0,0,1,0
ボケ味,×,-0.0,0,0,0,0,1,0
5コマ,×,-0.0,0,0,0,0,1,0
夜景,×,-0.0,0,0,0,0,1,0
バリアングル,×,-0.0,0,0,0,0,1,0
後,×,-0.0,0,0,0,0,1,0
マニュアル操作,×,-0.0,0,0,0,0,1,0
F31fd,×,-0.0,0,0,0,0,1,0
重くもな,×,-0.0,0,0,0,0,0,1
カスタム性,×,-0.0,0,0,0,0,0,1
光学ファインダー,×,-0.0,0,0,0,0,0,1
FZ8,×,-0.0,0,0,0,0,0,1
これから,×,-0.0,0,0,0,0,0,2
●液晶,×,-0.0,0,0,0,0,0,1
ブルー,×,-0.0,0,0,0,0,0,1
14−45,×,-0.0,0,0,0,0,0,1
広角画像,×,-0.0,0,0,0,0,0,1
シャッター音,×,-0.0,0,0,0,0,0,1
メニュー操作,×,-0.0,0,0,0,0,0,1
アクティブD-ライティング,×,-0.0,0,0,0,0,0,1
シャッターバランサー,×,-0.0,0,0,0,0,0,1
対応,×,-0.0,0,0,0,0,0,1
モノクロ,×,-0.0,0,0,0,0,0,1
色味,×,-0.0,0,0,0,0,0,1
5DX,×,-0.0,0,0,0,0,0,1
暮れ部手,×,-0.0,0,0,0,0,0,1
再現,×,-0.0,0,0,0,0,0,1
今後,×,-0.0,0,0,0,0,0,1
最短撮影距離,×,-0.0,0,0,0,0,0,1
ボケ具合,×,-0.0,0,0,0,0,0,2
電池持ち,×,-0.0,0,0,0,0,0,1
(視野率・倍率etc.),×,-0.0,0,0,0,0,0,1
抜群操作性,×,-0.0,0,0,0,0,0,1
高感度撮影,×,-0.0,0,0,0,0,0,1
AF性能,×,-0.0,0,0,0,0,0,1
1N,×,-0.0,0,0,0,0,0,1
色ノリ,×,-0.0,0,0,0,0,0,1
剛性感,×,-0.0,0,0,0,0,0,1
中身,×,-0.0,0,0,0,0,0,1
ディテール,×,-0.0,0,0,0,0,0,1
シャッター,×,-0.0,0,0,0,0,0,1
・___グリッド表示機能,×,-0.0,0,0,0,0,0,1
連写,×,-0.0,0,0,0,0,0,1
軽いし画質,×,-0.0,0,0,0,0,0,1
S1〜S3,×,-0.0,0,0,0,0,0,1
デジタル,×,-0.0,0,0,0,0,0,1
フィルム,×,-0.0,0,0,0,0,0,1
S8000,×,-0.0,0,0,0,0,0,1
ファインダー,×,-0.0,0,0,0,0,0,1
