"",2.25754247590989,H,の高い,の良い,は高いです,が良い,が高い,は高いと,が悪い,は良いです,が良く,も良く,は良いと,が高いです,はありません,に優れた,が良いです,もよく,がいいです,は思います,がいい,が良いと,が高く,は高い,がよい,も良いと,は最高です,が高いと,がよく,のよい,も良いです,も高く,があります,はいいと,は良好です,はいいです,が高いので,が良いので,も良い,は良い,もいいです,はあります,は5です,が悪いと,が悪いです,は抜群です,も良好です,は悪いです,が弱いです,がいいですね,は素晴らしいです,に優れている
発色,○,3.89841284836405,0,1,0,0,0,0,2,2,3,3,0,0,1,0,0,6,0,2,3,0,0,0,0,0,2,0,1,1,4,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
描写,○,3.89109274019178,0,2,1,0,0,0,0,5,1,6,0,0,4,1,0,0,1,5,1,4,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,1,1,1,5,0,0,0,0,1,0,0,0,0,0
感触,○,3.88333746042101,0,0,0,2,0,0,0,6,1,0,1,0,2,0,2,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,3,0,0,0,1,0,0,1,0,1,0,0
AF精度,○,3.875,1,1,1,0,1,0,2,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
相性,○,3.86346518960165,0,1,0,2,0,0,0,0,1,3,1,0,1,0,2,0,0,0,0,2,0,0,1,0,1,0,0,0,3,0,0,2,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0
解像感,○,3.84385618977472,1,0,0,0,2,2,1,1,0,2,1,2,0,0,0,1,0,0,0,0,2,1,0,1,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
レンズ,○,3.82354092331116,0,5,1,1,0,1,1,10,1,1,2,0,8,0,0,0,0,6,1,2,0,1,0,0,0,0,0,0,0,0,0,3,0,4,0,0,1,1,0,4,0,0,0,0,0,0,0,2,0,0
描写力,○,3.72192809488736,0,0,0,0,1,0,0,1,0,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,1,0,4,0,0,0,0,1,0,0,0,1,0
解像度,○,3.69694420892596,5,0,2,1,6,0,1,1,0,1,0,2,2,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0
色乗り,○,3.68641941134877,0,2,0,1,0,0,0,1,2,5,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
画像,○,3.68354236243323,0,0,0,1,0,0,1,2,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,1,0,0
感度,○,3.625,2,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
ホールド性,○,3.60693673217532,0,0,0,1,1,0,2,2,4,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
重さ,○,3.60538854220753,0,0,0,3,0,0,0,2,0,2,0,0,1,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0
補正,○,3.57781953111478,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
持ち,○,3.53499303816878,0,0,0,22,0,0,30,5,0,0,6,0,7,0,4,0,1,0,9,2,0,0,6,0,1,0,1,0,0,0,0,0,0,1,0,2,0,3,0,0,0,5,9,1,0,5,0,0,0,0
液晶,○,3.52299398628051,0,1,0,1,0,0,0,7,0,0,2,0,1,0,0,0,0,5,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0
感じ,○,3.50392803184602,0,0,0,4,0,0,0,3,0,0,1,0,6,0,1,0,2,0,1,0,0,0,0,0,2,0,0,0,1,0,5,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0
カメラ,○,3.502736171594,0,3,0,0,1,1,0,2,0,0,1,0,6,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,3,0,0,0,1,0,0,0,0,1,0
操作感,○,3.5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0
大きさ,○,3.49922754713269,0,0,0,0,0,0,0,2,0,1,1,0,2,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
機能,○,3.48171457298607,0,0,1,3,0,0,1,0,0,0,1,0,4,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0
レスポンス,○,3.42733349389827,0,2,0,8,0,0,6,1,6,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0
汎用性,○,3.39274741044878,2,0,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
質,○,3.38158048830916,2,4,1,0,1,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
視認性,○,3.37878349348618,0,2,0,2,0,0,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
色,○,3.37878349348618,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
色合い,○,3.32486295761736,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
機動性,○,3.27761343681912,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
機能性,○,3.27290559532006,0,0,0,0,1,0,0,3,1,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
色のり,○,3.19715972342415,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,6,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
ボケ味,○,3.19715972342415,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,2,0,0,0,2,0
評価,○,3.14990959026881,12,1,2,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
もち,○,3.1393538721672,0,0,0,1,0,0,7,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
ボケ,○,3.125,0,0,0,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
グリップ感,○,3.12192809488736,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
電池持ち,○,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ホールド,○,2.97809488816926,0,0,0,1,0,0,0,5,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
表現力,○,2.9689185639621,0,0,0,0,0,0,0,3,1,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
バッテリー,○,2.96275704735244,0,0,0,1,1,0,0,5,0,0,1,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,2,0
CP,○,2.95281953111478,4,0,1,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
満足感,○,2.94792513406838,7,0,6,0,3,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,3,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
取り回し,○,2.94770277922009,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
写真,○,2.94770277922009,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
値段,○,2.9353304337535,1,0,1,0,9,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
撮影,○,2.92192809488736,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
反応,○,2.91397707318275,0,2,0,0,0,0,2,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
コントラスト,○,2.87412761699852,11,1,0,1,5,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,1,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機種,○,2.87314067951313,0,2,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
AF,○,2.86557685520725,0,0,1,1,0,0,1,2,0,0,0,0,6,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
効果,○,2.85538854220753,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0
重量バランス,○,2.85538854220753,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
価格,○,2.83333333333333,0,0,1,0,9,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
出来,○,2.80739045087672,0,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
グリップ,○,2.8073549220576,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,○,2.80223878575527,0,13,0,7,0,0,0,0,0,0,0,0,1,0,2,0,9,0,9,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
動画,○,2.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フィーリング,○,2.75,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ファインダー,○,2.75,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
サイズ,○,2.72548055699787,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
見た目,○,2.72548055699787,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0
満足度,○,2.70505665947792,45,0,68,0,7,10,0,0,0,0,0,16,1,0,0,0,0,1,0,0,2,13,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
使用頻度,○,2.66914954988544,10,0,2,0,11,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
評判,○,2.52689695512743,3,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
音質,○,2.52164063634332,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
あと,○,2.52164063634332,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
ズーム,○,2.52164063634332,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
組み合わせ,○,2.52164063634332,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
絵,○,2.52164063634332,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
シャッター音,○,2.52164063634332,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0
条件,○,2.50325833477565,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
利便性,○,2.5,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
・画質,○,2.5,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
音,○,2.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ボケ具合,○,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0
完成度,○,2.42654141786392,37,0,3,0,11,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,3,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
画素数,○,2.41938194564637,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
製品,○,2.32192809488736,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
操作,○,2.32192809488736,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
切れ,○,2.29989639116789,0,4,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
価値,○,2.29207175245779,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0
人,○,2.29207175245779,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
お買い得感,○,2.27094242174854,2,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
自分,×,2.25162916738782,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
基本性能,×,2.25162916738782,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見栄え,×,2.25162916738782,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気分,×,2.25162916738782,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
作り,×,2.25162916738782,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
再現性,×,2.25162916738782,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ヌケ,×,2.22219157550668,0,5,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
良さ,×,2.22219157550668,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
・操作性,×,2.17095059445467,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
雰囲気,×,2.15563906222957,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
場合,×,2.15065330710834,0,0,0,0,0,0,0,3,0,0,4,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,25,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
画角,×,2.12808527889139,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
部分,×,2.00217222318376,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
レンズ性能,×,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写性能,×,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
他,×,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
トータルバランス,×,2.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
品質,×,2.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
D80,×,2.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
バッテリー持ち,×,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
ホワイトバランス,×,2.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
設定,×,2.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
出番,×,2.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
